sinh(-2*x)	-2*x - 4*x**3/3
(6*x**2-2)*tanh(-5*x+4)-(2*x**3+3)*cos(-8*x+4)-tanh(-4*x**3+6)	-3*cos(4) - tanh(6) - 2*tanh(4) + x*(-10*tanh(4)**2 + 10 - 24*sin(4)) + x**2*(96*cos(4) - 50*tanh(4)**3 + 56*tanh(4)) + x**3*(-250*tanh(4)**4 + 256*sin(4) - 328/3 - 4*tanh(6)**2 - 2*cos(4) + 1090*tanh(4)**2/3) + x**4*(-1250*tanh(4)**5 - 2950*tanh(4)/3 - 16*sin(4) - 512*cos(4) + 6700*tanh(4)**3/3)
(9*x+1)*tanh(2*x**2/7)	2*x**2/7 + 18*x**3/7
(8*x**2/2)*exp(-5*x**2+4)-exp(4*x**2/4)-exp(-6*x**3/8)	-2 + x**2*(-1 + 4*exp(4)) + 3*x**3/4 + x**4*(-20*exp(4) - 1/2)
-exp(7*x-3)-(8*x**2+7)*cos(5*x/2)	-exp(-3) - 7 - 7*x*exp(-3) + x**2*(111/8 - 49*exp(-3)/2) - 343*x**3*exp(-3)/6 + x**4*(5225/384 - 2401*exp(-3)/24)
(7*x**2+1)*exp(8*x-9)+(6*x**3/7)*cos(-2*x**3-5)+(5*x**3-1)*cos(4*x**2-1)	exp(-9) - cos(1) + 8*x*exp(-9) + x**2*(-4*sin(1) + 39*exp(-9)) + x**3*(424*exp(-9)/3 + 6*cos(5)/7 + 5*cos(1)) + x**4*(1184*exp(-9)/3 + 8*cos(1))
(8*x**3+4)*cosh(3*x**3+6)	4*cosh(6) + x**3*(8*cosh(6) + 12*sinh(6))
(9*x**2/9)*exp(7*x**2/4)+ln(-9*x**3+2)-(5*x**3-4)*exp(-9*x**2/3)	4 + log(2) - 11*x**2 - 19*x**3/2 + 79*x**4/4
exp(9*x**3)/(2*x-6)*exp(3*x-7)-tanh(-6*x**3/3)	-exp(-7)/6 - 5*x*exp(-7)/9 - 101*x**2*exp(-7)/108 + x**3*(2 - 415*exp(-7)/162) - 23003*x**4*exp(-7)/3888
exp(8*x)-(2*x**2)*sinh(-3*x**2/7)-ln(-9*x**3+2)	1 - log(2) + 8*x + 32*x**2 + 539*x**3/6 + 3602*x**4/21
sin(6*x**2-8)+(8*x**2)*cosh(6*x**3+2)	-sin(8) + x**2*(6*cos(8) + 8*cosh(2)) + 18*x**4*sin(8)
sinh(-7*x-7)/(6*x**3+6)*exp(5*x**3-8)	-exp(-8)*sinh(7)/6 - 7*x*exp(-8)*cosh(7)/6 - 49*x**2*exp(-8)*sinh(7)/12 + x**3*(-343*exp(-8)*cosh(7)/36 - 2*exp(-8)*sinh(7)/3) + x**4*(-2401*exp(-8)*sinh(7)/144 - 14*exp(-8)*cosh(7)/3)
-exp(-6*x/2)-(5*x**3/8)*exp(-7*x**2+6)	-1 + 3*x - 9*x**2/2 + x**3*(9/2 - 5*exp(6)/8) - 27*x**4/8
-(6*x**2/7)*sinh(-5*x+3)+(3*x/3)*exp(-4*x-8)/(4*x**2-2)*exp(-4*x**3+4)	-x*exp(-4)/2 + x**2*(-6*sinh(3)/7 + 2*exp(-4)) + x**3*(-5*exp(-4) + 30*cosh(3)/7) + x**4*(-75*sinh(3)/7 + 34*exp(-4)/3)
(5*x**2-8)*sin(7*x**2-8)/(4*x**3-8)*cosh(6*x**2+9)	-sin(8)*cosh(9) + x**2*(-6*sin(8)*sinh(9) + 7*cos(8)*cosh(9) + 5*sin(8)*cosh(9)/8) - x**3*sin(8)*cosh(9)/2 + x**4*(42*cos(8)*sinh(9) - 35*cos(8)*cosh(9)/8 + 15*sin(8)*sinh(9)/4 + 13*sin(8)*cosh(9)/2)
-sinh(-9*x**2+8)/(7*x**3-6)*cos(7*x**3+5)	cos(5)*sinh(8)/6 - 3*x**2*cos(5)*cosh(8)/2 + x**3*(7*cos(5)*sinh(8)/36 - 7*sin(5)*sinh(8)/6) + 27*x**4*cos(5)*sinh(8)/4
(9*x**3-7)*ln(2*x/6)	x**3*(9*log(x) - 9*log(3)) - 7*log(x) + 7*log(3)
-(7*x/3)*sinh(9*x+4)+(2*x**3/4)*tan(-4*x/6)+(6*x**2/9)*exp(-5*x**3+6)	-7*x*sinh(4)/3 + x**2*(-21*cosh(4) + 2*exp(6)/3) - 189*x**3*sinh(4)/2 + x**4*(-567*cosh(4)/2 - 1/3)
-sin(7*x**3+9)/sin(-2*x**3+1)+exp(2*x**3+3)	exp(3) - sin(9)/sin(1) + x**3*(-2*sin(9)*cos(1)/sin(1)**2 - 7*cos(9)/sin(1) + 2*exp(3))
-(9*x**3+1)*tan(-3*x**3+2)/sinh(6*x**3+8)+tan(9*x+9)	-tan(2)/sinh(8) + tan(9) + x*(9*tan(9)**2 + 9) + x**2*(81*tan(9) + 81*tan(9)**3) + x**3*(6*tan(2)*cosh(8)/sinh(8)**2 + 3/sinh(8) + 3*tan(2)**2/sinh(8) - 9*tan(2)/sinh(8) + 729*tan(9)**4 + 972*tan(9)**2 + 243) + x**4*(4374*tan(9) + 10935*tan(9)**3 + 6561*tan(9)**5)
-(4*x+4)*tanh(8*x**3)+(7*x)*exp(-6*x**3/4)+(6*x**2-8)*cos(3*x**2-5)	-8*cos(5) + 7*x + x**2*(6*cos(5) - 24*sin(5)) - 32*x**3 + x**4*(-85/2 + 18*sin(5) + 36*cos(5))
-cos(-9*x+6)	-cos(6) - 9*x*sin(6) + 81*x**2*cos(6)/2 + 243*x**3*sin(6)/2 - 2187*x**4*cos(6)/8
cosh(6*x+3)-tan(8*x**2+9)	cosh(3) - tan(9) + 6*x*sinh(3) + x**2*(-8 - 8*tan(9)**2 + 18*cosh(3)) + 36*x**3*sinh(3) + x**4*(-64*tan(9)**3 - 64*tan(9) + 54*cosh(3))
sin(-6*x**3)	-6*x**3
exp(9*x**2-8)+exp(-2*x-1)	exp(-1) + exp(-8) - 2*x*exp(-1) + x**2*(9*exp(-8) + 2*exp(-1)) - 4*x**3*exp(-1)/3 + x**4*(81*exp(-8)/2 + 2*exp(-1)/3)
(6*x**3/9)*sin(3*x**3-9)	-2*x**3*sin(9)/3
tan(-3*x-2)-tan(2*x**3-4)/tan(2*x/3)	3*tan(4)/(2*x) - tan(2) + x*(-3*tan(2)**2 - 3 - 2*tan(4)/9) + x**2*(-3*tan(4)**2 - 3 - 9*tan(2) - 9*tan(2)**3) + x**3*(-27*tan(2)**4 - 36*tan(2)**2 - 9 - 8*tan(4)/1215) + x**4*(4/9 + 4*tan(4)**2/9 - 54*tan(2) - 135*tan(2)**3 - 81*tan(2)**5)
(2*x+4)*sin(4*x-2)	-4*sin(2) + x*(16*cos(2) - 2*sin(2)) + x**2*(8*cos(2) + 32*sin(2)) + x**3*(16*sin(2) - 128*cos(2)/3) + x**4*(-128*sin(2)/3 - 64*cos(2)/3)
-exp(-2*x**2/7)-(3*x/7)*cosh(5*x**3)+(4*x**3-4)*exp(5*x**3/4)	-5 - 3*x/7 + 2*x**2/7 - x**3 - 2*x**4/49
-ln(7*x**2+1)	-7*x**2 + 49*x**4/2
-(7*x**3/6)*cos(3*x/9)-(5*x**3-3)*cosh(6*x**2-5)+(4*x/6)*exp(2*x**3/2)	3*cosh(5) + 2*x/3 - 18*x**2*sinh(5) + x**3*(-5*cosh(5) - 7/6) + x**4*(2/3 + 54*cosh(5))
(7*x**3/3)*tan(-6*x**3+7)	7*x**3*tan(7)/3
exp(3*x**2+3)	exp(3) + 3*x**2*exp(3) + 9*x**4*exp(3)/2
exp(7*x-8)-ln(4*x**2+6)-exp(-5*x-3)	exp(-8) - exp(-3) - log(6) + x*(7*exp(-8) + 5*exp(-3)) + x**2*(-2/3 - 25*exp(-3)/2 + 49*exp(-8)/2) + x**3*(343*exp(-8)/6 + 125*exp(-3)/6) + x**4*(-625*exp(-3)/24 + 2401*exp(-8)/24 + 2/9)
tanh(4*x-9)+tan(-2*x-2)-(9*x**2+5)*exp(7*x**2/8)	-tan(2) - tanh(9) - 5 + x*(-2*tan(2)**2 - 4*tanh(9)**2 + 2) + x**2*(-16*tanh(9)**3 - 107/8 - 4*tan(2) + 16*tanh(9) - 4*tan(2)**3) + x**3*(-8*tan(2)**4 - 64*tanh(9)**4 - 32*tan(2)**2/3 - 24 + 256*tanh(9)**2/3) + x**4*(-256*tanh(9)**5 - 512*tanh(9)/3 - 1253/128 - 32*tan(2)/3 - 80*tan(2)**3/3 + 1280*tanh(9)**3/3 - 16*tan(2)**5)
exp(-3*x**3-9)/exp(5*x**3/5)-tan(-8*x/2)	exp(-9) + 4*x + x**3*(64/3 - 4*exp(-9))
-(3*x+1)*cosh(-8*x**2-8)	-cosh(8) - 3*x*cosh(8) - 8*x**2*sinh(8) - 24*x**3*sinh(8) - 32*x**4*cosh(8)
(5*x)*sin(-6*x+4)/(9*x+7)*cos(-7*x/2)-(8*x**3+8)*tan(-5*x-8)	8*tan(8) + x*(5*sin(4)/7 + 40 + 40*tan(8)**2) + x**2*(200*tan(8)**3 + 200*tan(8) - 45*sin(4)/49 - 30*cos(4)/7) + x**3*(8*tan(8) + 270*cos(4)/49 - 44045*sin(4)/2744 + 1000/3 + 4000*tan(8)**2/3 + 1000*tan(8)**4) + x**4*(5000*tan(8)**5 + 25000*tan(8)**3/3 + 10000*tan(8)/3 + 61575*cos(4)/1372 + 396405*sin(4)/19208 + 40 + 40*tan(8)**2)
-(8*x**2/7)*exp(-6*x**3+9)	-8*x**2*exp(9)/7
(7*x**3-7)*sin(9*x-6)+tanh(3*x/6)/exp(-9*x**3/9)	7*sin(6) + x*(1/2 - 63*cos(6)) - 567*x**2*sin(6)/2 + x**3*(-1/24 - 7*sin(6) + 1701*cos(6)/2) + x**4*(15309*sin(6)/8 + 1/2 + 63*cos(6))
-exp(-6*x**3/4)+exp(-7*x**3+3)-cos(5*x**2/6)	exp(3) - 2 + x**3*(3/2 - 7*exp(3)) + 25*x**4/72
-tan(9*x**2/7)	-9*x**2/7
-exp(-2*x+8)+cos(-9*x**2+6)	cos(6) - exp(8) + 2*x*exp(8) + x**2*(-2*exp(8) + 9*sin(6)) + 4*x**3*exp(8)/3 + x**4*(-2*exp(8)/3 - 81*cos(6)/2)
-(7*x**2-2)*sin(6*x**2-8)+exp(-4*x**2-3)	exp(-3) - 2*sin(8) + x**2*(12*cos(8) - 4*exp(-3) + 7*sin(8)) + x**4*(8*exp(-3) - 42*cos(8) + 36*sin(8))
-(9*x**3+2)*sin(4*x**3+8)-(6*x/8)*tan(2*x**3-4)/exp(3*x**3-9)	-2*sin(8) + 3*x*exp(9)*tan(4)/4 + x**3*(-9*sin(8) - 8*cos(8)) + x**4*(-9*exp(9)*tan(4)/4 - 3*exp(9)*tan(4)**2/2 - 3*exp(9)/2)
(2*x**2-6)*exp(3*x**2/5)+tan(8*x**2+3)	tan(3) - 6 + x**2*(8*tan(3)**2 + 32/5) + x**4*(64*tan(3) + 64*tan(3)**3 + 3/25)
cosh(-4*x**3+7)+exp(5*x-9)	cosh(7) + exp(-9) + 5*x*exp(-9) + 25*x**2*exp(-9)/2 + x**3*(-4*sinh(7) + 125*exp(-9)/6) + 625*x**4*exp(-9)/24
-(5*x+2)*exp(7*x**2/9)+(3*x/3)*cos(-7*x**2/5)-(7*x**2/6)*sin(-3*x-9)	-2 - 4*x + x**2*(-14/9 + 7*sin(9)/6) + x**3*(-35/9 + 7*cos(9)/2) + x**4*(-21*sin(9)/4 - 49/81)
sinh(-5*x**2-9)+(2*x-4)*cos(8*x**3)	-4 - sinh(9) + 2*x - 5*x**2*cosh(9) - 25*x**4*sinh(9)/2
-(4*x**3+3)*cosh(-2*x**2-1)	-3*cosh(1) - 6*x**2*sinh(1) - 4*x**3*cosh(1) - 6*x**4*cosh(1)
-exp(-2*x**2+7)-sin(-5*x**3-3)+exp(-7*x**2/9)	1 + sin(3) - exp(7) + x**2*(-7/9 + 2*exp(7)) + 5*x**3*cos(3) + x**4*(49/162 - 2*exp(7))
sin(8*x+2)+(7*x**3/7)*tan(4*x**2/3)+(8*x+1)*exp(-3*x/7)	1 + sin(2) + x*(8*cos(2) + 53/7) + x**2*(-32*sin(2) - 327/98) + x**3*(495/686 - 256*cos(2)/3) + x**4*(-1989/19208 + 512*sin(2)/3)
(8*x**2)*exp(-9*x+8)	8*x**2*exp(8) - 72*x**3*exp(8) + 324*x**4*exp(8)
-(8*x**2/6)*sin(-3*x+7)+(9*x**2-3)*exp(-3*x**3/9)/(4*x**2/6)*sinh(6*x**3/2)	-27*x/2 - 4*x**2*sin(7)/3 + x**3*(4*cos(7) + 81/2) + x**4*(6*sin(7) + 9/2)
(9*x**2+4)*exp(7*x**2/7)	4 + 13*x**2 + 11*x**4
-tanh(-9*x**3-4)	tanh(4) + x**3*(9 - 9*tanh(4)**2)
(2*x+5)*exp(-4*x**3+7)	5*exp(7) + 2*x*exp(7) - 20*x**3*exp(7) - 8*x**4*exp(7)
sinh(-5*x/2)/(8*x**3/3)*sin(-9*x+2)-cos(3*x**2-3)	-15*sin(2)/(16*x**2) + 135*cos(2)/(16*x) + 4735*sin(2)/128 - cos(3) - 13455*x*cos(2)/128 + x**2*(-444505*sin(2)/2048 - 3*sin(3)) + 707409*x**3*cos(2)/2048 + x**4*(9*cos(3)/2 + 150468443*sin(2)/344064)
ln(3*x**3/9)/(8*x**3/6)*exp(-9*x**3+8)	(9*exp(8)*log(x)/4 - 3*exp(8)*log(3)/4)/x**3 + 27*exp(8)*log(3)/4 - 81*exp(8)*log(x)/4 + x**3*(729*exp(8)*log(x)/8 - 243*exp(8)*log(3)/8)
sinh(-2*x**3/6)/(4*x**3-9)*exp(-2*x**2/2)	x**3/27
-(3*x+5)*cos(6*x+2)+(3*x+8)*sinh(2*x**3-5)	-5*cos(2) - 8*sinh(5) + x*(-3*sinh(5) - 3*cos(2) + 30*sin(2)) + x**2*(90*cos(2) + 18*sin(2)) + x**3*(-180*sin(2) + 54*cos(2) + 16*cosh(5)) + x**4*(-108*sin(2) - 270*cos(2) + 6*cosh(5))
sinh(3*x/2)/(7*x**2-2)*cosh(7*x**2+5)	-3*x*cosh(5)/4 + x**3*(-21*sinh(5)/4 - 93*cosh(5)/32)
cosh(9*x-1)+(4*x**2+9)*sinh(-9*x/6)-(7*x**2-5)*sinh(-5*x**2/2)	cosh(1) + x*(-27/2 - 9*sinh(1)) + x**2*(-25/2 + 81*cosh(1)/2) + x**3*(-243*sinh(1)/2 - 177/16) + x**4*(35/2 + 2187*cosh(1)/8)
sin(2*x+7)/cos(-6*x**2-6)	sin(7)/cos(6) + 2*x*cos(7)/cos(6) + x**2*(-2*sin(7)/cos(6) + 6*sin(6)*sin(7)/cos(6)**2) + x**3*(12*sin(6)*cos(7)/cos(6)**2 - 4*cos(7)/(3*cos(6))) + x**4*(2*sin(7)/(3*cos(6)) - 12*sin(6)*sin(7)/cos(6)**2 + (36*sin(6)**2/cos(6)**2 + 18)*sin(7)/cos(6))
-sinh(-9*x**2/2)/exp(9*x+4)	9*x**2*exp(-4)/2 - 81*x**3*exp(-4)/2 + 729*x**4*exp(-4)/4
(6*x**2+1)*tan(4*x**2-2)	-tan(2) + x**2*(4 - 6*tan(2) + 4*tan(2)**2) + x**4*(24 - 16*tan(2) + 24*tan(2)**2 - 16*tan(2)**3)
(3*x-6)*cosh(8*x**2-3)/(7*x+8)*exp(-5*x**2+7)	-3*exp(7)*cosh(3)/4 + 33*x*exp(7)*cosh(3)/32 + x**2*(729*exp(7)*cosh(3)/256 + 6*exp(7)*sinh(3)) + x**3*(-33*exp(7)*sinh(3)/4 - 8943*exp(7)*cosh(3)/2048) + x**4*(-484215*exp(7)*cosh(3)/16384 - 729*exp(7)*sinh(3)/32)
sinh(-6*x**3+2)-(7*x**3-6)*cosh(-7*x**3-9)-tanh(-4*x**2+2)	6*cosh(9) + sinh(2) - tanh(2) + x**2*(4 - 4*tanh(2)**2) + x**3*(-7*cosh(9) - 6*cosh(2) + 42*sinh(9)) + x**4*(-16*tanh(2)**3 + 16*tanh(2))
-(4*x**3+9)*sinh(-9*x**2/2)/exp(-3*x**2+6)	81*x**2*exp(-6)/2 + 243*x**4*exp(-6)/2
(3*x**2-1)*exp(9*x**3/9)	-1 + 3*x**2 - x**3
(9*x+2)*tan(-6*x/9)+cosh(-9*x**2)	1 - 4*x/3 - 6*x**2 - 16*x**3/81 + 713*x**4/18
tanh(-2*x-8)	-tanh(8) + x*(-2 + 2*tanh(8)**2) + x**2*(-4*tanh(8)**3 + 4*tanh(8)) + x**3*(-32*tanh(8)**2/3 + 8/3 + 8*tanh(8)**4) + x**4*(-16*tanh(8)**5 - 32*tanh(8)/3 + 80*tanh(8)**3/3)
-(8*x**2/9)*cos(-9*x+6)	-8*x**2*cos(6)/9 - 8*x**3*sin(6) + 36*x**4*cos(6)
-tan(-9*x+7)	-tan(7) + x*(9*tan(7)**2 + 9) + x**2*(-81*tan(7) - 81*tan(7)**3) + x**3*(243 + 729*tan(7)**4 + 972*tan(7)**2) + x**4*(-10935*tan(7)**3 - 4374*tan(7) - 6561*tan(7)**5)
(3*x**3/8)*cosh(4*x**3-7)	3*x**3*cosh(7)/8
(4*x**3+1)*tan(-5*x**3/9)-(4*x**2+3)*exp(2*x**3/4)-(3*x/4)*exp(6*x-1)	-3 - 3*x*exp(-1)/4 + x**2*(-4 - 9*exp(-1)/2) + x**3*(-27*exp(-1)/2 - 37/18) - 27*x**4*exp(-1)
-(7*x**3-3)*sin(-7*x)	-21*x + 343*x**3/2 + 49*x**4
sinh(7*x**2/2)	7*x**2/2
-(3*x/8)*exp(6*x**3-4)+exp(9*x**2-6)	exp(-6) - 3*x*exp(-4)/8 + 9*x**2*exp(-6) + x**4*(-9*exp(-4)/4 + 81*exp(-6)/2)
(6*x-9)*cosh(-4*x**2+9)	-9*cosh(9) + 6*x*cosh(9) + 36*x**2*sinh(9) - 24*x**3*sinh(9) - 72*x**4*cosh(9)
(9*x**2/5)*cos(3*x)	9*x**2/5 - 81*x**4/10
exp(2*x**3/6)	1 + x**3/3
(6*x**2-8)*sin(7*x-8)/(4*x**3/3)*exp(-6*x**2-3)+cosh(-2*x**3)	6*exp(-3)*sin(8)/x**3 - 42*exp(-3)*cos(8)/x**2 - 375*exp(-3)*sin(8)/(2*x) + 1 + 1253*exp(-3)*cos(8)/2 + 3455*x*exp(-3)*sin(8)/2 - 20503*x**2*exp(-3)*cos(8)/5 - 2072783*x**3*exp(-3)*sin(8)/240 + 789565*x**4*exp(-3)*cos(8)/48
-(8*x+3)*exp(9*x-7)	-3*exp(-7) - 35*x*exp(-7) - 387*x**2*exp(-7)/2 - 1377*x**3*exp(-7)/2 - 14337*x**4*exp(-7)/8
-ln(7*x**2/9)+exp(2*x**2/9)	2*log(3) + 1 - log(7) - 2*log(x) + 2*x**2/9 + 2*x**4/81
-(5*x**2-7)*exp(-7*x-6)	7*exp(-6) - 49*x*exp(-6) + 333*x**2*exp(-6)/2 - 2191*x**3*exp(-6)/6 + 13867*x**4*exp(-6)/24
-(4*x**2/5)*exp(-5*x**2+4)/sin(2*x**3-3)-ln(-4*x+2)	-log(2) + 2*x + x**2*(2 + 4*exp(4)/(5*sin(3))) + 8*x**3/3 + x**4*(-4*exp(4)/sin(3) + 4)
(7*x**3-1)*sin(-6*x**3-2)+exp(-8*x/5)+(6*x**3)*tanh(-2*x**3/9)	1 + sin(2) - 8*x/5 + 32*x**2/25 + x**3*(-7*sin(2) + 6*cos(2) - 256/375) + 512*x**4/1875
-(6*x**2+4)*cosh(8*x**3+6)/(4*x/4)*exp(-3*x**3/8)	-4*cosh(6)/x - 6*x*cosh(6) + x**2*(-32*sinh(6) + 3*cosh(6)/2) + x**4*(-48*sinh(6) + 9*cosh(6)/4)
tanh(4*x**3/2)/(2*x**2-3)*tan(-4*x**3/9)	O(x**5)
-(3*x**3/7)*sinh(-7*x+1)/(8*x-2)*sin(2*x**2)/(6*x**2-7)*exp(-8*x**3/7)	O(x**5)
(3*x**3/2)*exp(4*x**3/9)	3*x**3/2
(5*x-5)*tan(-7*x**3-5)	5*tan(5) - 5*x*tan(5) + x**3*(35 + 35*tan(5)**2) + x**4*(-35*tan(5)**2 - 35)
(6*x**2/2)*cos(-9*x+2)-sin(-2*x**3+7)	-sin(7) + 3*x**2*cos(2) + x**3*(2*cos(7) + 27*sin(2)) - 243*x**4*cos(2)/2
(8*x**2+9)*exp(2*x/2)+sinh(-2*x**3-8)-tan(-3*x**2/9)	9 - sinh(8) + 9*x + 77*x**2/6 + x**3*(19/2 - 2*cosh(8)) + 35*x**4/8
(4*x**3+6)*exp(-6*x**3+7)	6*exp(7) - 32*x**3*exp(7)
(5*x**3/7)*sin(9*x-9)-(8*x**3/9)*cos(2*x**2-7)+tan(-2*x**2-8)	-tan(8) + x**2*(-2*tan(8)**2 - 2) + x**3*(-8*cos(7)/9 - 5*sin(9)/7) + x**4*(45*cos(9)/7 - 4*tan(8) - 4*tan(8)**3)
-exp(3*x**2-3)+(9*x**3-7)*tanh(-4*x**2+6)	-exp(-3) - 7*tanh(6) + x**2*(-28*tanh(6)**2 - 3*exp(-3) + 28) + 9*x**3*tanh(6) + x**4*(-112*tanh(6)**3 - 9*exp(-3)/2 + 112*tanh(6))
(3*x**2/5)*tan(-9*x**2-4)+exp(-5*x**3/2)+(7*x+8)*exp(5*x**3/8)	9 + 7*x - 3*x**2*tan(4)/5 + 5*x**3/2 + x**4*(-27*tan(4)**2/5 - 41/40)
(3*x**3+8)*tanh(8*x+1)/(2*x/6)*tan(2*x**2/5)	48*x*tanh(1)/5 + x**2*(384/5 - 384*tanh(1)**2/5) + x**3*(-3072*tanh(1)/5 + 3072*tanh(1)**3/5) + x**4*(-24576*tanh(1)**4/5 - 8192/5 + 18*tanh(1)/5 + 32768*tanh(1)**2/5)
sin(7*x**3+3)/(9*x**3+5)*exp(8*x+1)-tan(-6*x/6)	E*sin(3)/5 + x*(8*E*sin(3)/5 + 1) + 32*E*x**2*sin(3)/5 + x**3*(7*E*cos(3)/5 + 1/3 + 1253*E*sin(3)/75) + x**4*(56*E*cos(3)/5 + 2344*E*sin(3)/75)
(7*x/2)*sinh(-8*x**3+1)	7*x*sinh(1)/2 - 28*x**4*cosh(1)
-(3*x**2/7)*exp(5*x**3-3)-(7*x**3+6)*cosh(3*x/4)/(6*x/2)*exp(9*x**2-7)	-2*exp(-7)/x - 297*x*exp(-7)/16 + x**2*(-3*exp(-3)/7 - 7*exp(-7)/3) - 88155*x**3*exp(-7)/1024 - 693*x**4*exp(-7)/32
(8*x-6)*sin(-2*x**2/4)	3*x**2 - 4*x**3
-(9*x/9)*exp(-8*x**2+6)	-x*exp(6) + 8*x**3*exp(6)
(9*x/3)*sin(-7*x-4)/(3*x**3+9)*exp(6*x**3-7)	-x*exp(-7)*sin(4)/3 - 7*x**2*exp(-7)*cos(4)/3 + 49*x**3*exp(-7)*sin(4)/6 + x**4*(343*exp(-7)*cos(4)/18 - 17*exp(-7)*sin(4)/9)
-exp(8*x+7)+exp(-4*x**2+3)/(2*x**3)*ln(2*x+1)	exp(3)/x**2 - exp(3)/x - 8*exp(3)/3 - exp(7) + x*(-8*exp(7) + 2*exp(3)) + x**2*(-32*exp(7) + 88*exp(3)/15) + x**3*(-256*exp(7)/3 - 16*exp(3)/3) + x**4*(-512*exp(7)/3 - 128*exp(3)/35)
tanh(7*x**3/5)	7*x**3/5
(6*x**3-7)*cos(5*x-3)	-7*cos(3) - 35*x*sin(3) + 175*x**2*cos(3)/2 + x**3*(6*cos(3) + 875*sin(3)/6) + x**4*(30*sin(3) - 4375*cos(3)/24)
(3*x+1)*cos(6*x**3-3)-(6*x**2/5)*ln(9*x**3+6)	cos(3) + 3*x*cos(3) - 6*x**2*log(6)/5 + 6*x**3*sin(3) + 18*x**4*sin(3)
-(6*x**2+5)*exp(-2*x)/tanh(-4*x**3+4)	-5/tanh(4) + 10*x/tanh(4) - 16*x**2/tanh(4) + x**3*(-5*(-4*tanh(4) + 4/tanh(4))/tanh(4) + 56/(3*tanh(4))) + x**4*(-46/(3*tanh(4)) + 10*(-4*tanh(4) + 4/tanh(4))/tanh(4))
-exp(-6*x/5)-sin(-7*x**3+4)	-sin(4) - 1 + 6*x/5 - 18*x**2/25 + x**3*(7*cos(4) + 36/125) - 54*x**4/625
-(6*x**2/7)*sinh(4*x+7)	-6*x**2*sinh(7)/7 - 24*x**3*cosh(7)/7 - 48*x**4*sinh(7)/7
exp(3*x**3-1)/(2*x/3)*sin(-8*x**2)-(9*x**2+6)*cosh(8*x**3-1)	-6*cosh(1) - 12*x*exp(-1) - 9*x**2*cosh(1) + 48*x**3*sinh(1) - 36*x**4*exp(-1)
(6*x/5)*exp(-2*x+6)	6*x*exp(6)/5 - 12*x**2*exp(6)/5 + 12*x**3*exp(6)/5 - 8*x**4*exp(6)/5
sinh(-9*x/9)	-x - x**3/6
cosh(-2*x**3-9)+(6*x**2+8)*cosh(4*x**3/3)-(4*x**3/6)*ln(-5*x**3+8)	cosh(9) + 8 + 6*x**2 + x**3*(-2*log(8)/3 + 2*sinh(9))
-(3*x**2)*exp(-6*x**3/8)	-3*x**2
-(2*x-3)*exp(7*x**3+4)-ln(-6*x**2+4)-exp(6*x-8)	3*exp(4) - exp(-8) - log(4) + x*(-2*exp(4) - 6*exp(-8)) + x**2*(3/2 - 18*exp(-8)) + x**3*(-36*exp(-8) + 21*exp(4)) + x**4*(-14*exp(4) - 54*exp(-8) + 9/8)
(9*x**2)*exp(7*x**2-6)	9*x**2*exp(-6) + 63*x**4*exp(-6)
-cos(5*x/2)	-1 + 25*x**2/8 - 625*x**4/384
-(4*x**3-2)*sin(7*x-6)-(2*x-8)*exp(8*x**2+9)-(3*x-4)*tan(-5*x/5)	8*exp(9) - 2*sin(6) + x*(-2*exp(9) - 4 + 14*cos(6)) + x**2*(49*sin(6) + 3 + 64*exp(9)) + x**3*(-16*exp(9) - 343*cos(6)/3 - 4/3 + 4*sin(6)) + x**4*(-28*cos(6) + 1 - 2401*sin(6)/12 + 256*exp(9))
(8*x**3/8)*tan(-4*x**3+8)	x**3*tan(8)
-(8*x**3/3)*sin(6*x**2-4)+(7*x-4)*exp(9*x**3)	-4 + 7*x + x**3*(-36 + 8*sin(4)/3) + 63*x**4
-(3*x-6)*exp(4*x**3-6)/(2*x**2-7)*tanh(-2*x-7)+sin(-9*x-2)	6*exp(-6)*tanh(7)/7 - sin(2) + x*(-12*exp(-6)*tanh(7)**2/7 - 3*exp(-6)*tanh(7)/7 + 12*exp(-6)/7 - 9*cos(2)) + x**2*(-156*exp(-6)*tanh(7)/49 - 6*exp(-6)/7 + 6*exp(-6)*tanh(7)**2/7 + 24*exp(-6)*tanh(7)**3/7 + 81*sin(2)/2) + x**3*(243*cos(2)/2 - 48*exp(-6)*tanh(7)**4/7 - 88*exp(-6)/49 - 12*exp(-6)*tanh(7)**3/7 + 246*exp(-6)*tanh(7)/49 + 424*exp(-6)*tanh(7)**2/49) + x**4*(-2187*sin(2)/8 - 1072*exp(-6)*tanh(7)**3/49 - 548*exp(-6)*tanh(7)**2/49 + 24*exp(-6)*tanh(7)**4/7 + 2236*exp(-6)*tanh(7)/343 + 380*exp(-6)/49 + 96*exp(-6)*tanh(7)**5/7)
-tanh(-6*x+9)	-tanh(9) + x*(6 - 6*tanh(9)**2) + x**2*(-36*tanh(9)**3 + 36*tanh(9)) + x**3*(-216*tanh(9)**4 - 72 + 288*tanh(9)**2) + x**4*(-1296*tanh(9)**5 - 864*tanh(9) + 2160*tanh(9)**3)
